pred,true,pred_class,true_class,correct
36,4,CONFUSED,BELIEVE,False
67,14,PARTY,BRAVE,False
41,18,DEVELOP,CANCER,False
1,1,BACKPACK,BACKPACK,True
49,49,FINE,FINE,True
36,4,CONFUSED,BELIEVE,False
8,28,BORROW,CHEESEGRATER,False
0,61,AXE,LUNCH,False
35,35,CLOUD,CLOUD,True
13,13,BRAIDS,BRAIDS,True
75,82,SCARED,SKATE,False
79,79,SHINY,SHINY,True
32,47,CITY,EDIT,False
19,19,CASTLE,CASTLE,True
7,98,BLOOD,TYPE,False
2,34,BASKETBALL,CLOSE,False
89,52,SUSPECT,GREECE,False
49,61,FINE,LUNCH,False
2,33,BASKETBALL,CLEAR,False
0,0,AXE,AXE,True
30,30,CHRISTMAS,CHRISTMAS,True
82,82,SKATE,SKATE,True
63,42,MICROSCOPE,DINNER,False
17,67,CANCEL,PARTY,False
37,37,DARK,DARK,True
26,26,CHASE,CHASE,True
38,38,DEAF,DEAF,True
35,35,CLOUD,CLOUD,True
96,96,THIRD,THIRD,True
36,36,CONFUSED,CONFUSED,True
44,44,DOWNSIZE,DOWNSIZE,True
60,8,LOCK,BORROW,False
10,33,BOWL,CLEAR,False
85,85,STICKY,STICKY,True
43,43,DOG,DOG,True
42,63,DINNER,MICROSCOPE,False
8,60,BORROW,LOCK,False
73,34,SAME,CLOSE,False
86,86,STOMACH,STOMACH,True
99,89,WHATFOR,SUSPECT,False
5,39,BELT,DECIDE,False
35,2,CLOUD,BASKETBALL,False
46,46,EAT,EAT,True
8,51,BORROW,GIFT,False
59,59,LETTUCE,LETTUCE,True
40,40,DEMAND,DEMAND,True
92,65,TEMPTATION,NIGHT,False
99,99,WHATFOR,WHATFOR,True
38,38,DEAF,DEAF,True
93,93,TEXT,TEXT,True
24,24,CHANNEL,CHANNEL,True
82,26,SKATE,CHASE,False
4,37,BELIEVE,DARK,False
27,52,CHEEK,GREECE,False
73,73,SAME,SAME,True
29,29,CHOCOLATE,CHOCOLATE,True
90,90,TAKEOFF,TAKEOFF,True
83,83,SPECIAL,SPECIAL,True
15,15,BREAKFAST,BREAKFAST,True
52,99,GREECE,WHATFOR,False
11,6,BOXING,BITE,False
56,96,HAMMER,THIRD,False
67,76,PARTY,SERVE,False
5,5,BELT,BELT,True
5,5,BELT,BELT,True
38,6,DEAF,BITE,False
68,68,PATIENT,PATIENT,True
60,31,LOCK,CIGARETTE,False
8,8,BORROW,BORROW,True
3,21,BEE,CATHOLIC,False
23,16,CHAIN,CALENDAR,False
46,27,EAT,CHEEK,False
54,97,GUESS,TWINS,False
97,69,TWINS,RECENT,False
5,5,BELT,BELT,True
45,45,DRAG,DRAG,True
48,48,ELEVATOR,ELEVATOR,True
23,23,CHAIN,CHAIN,True
11,11,BOXING,BOXING,True
98,98,TYPE,TYPE,True
18,18,CANCER,CANCER,True
65,64,NIGHT,MOVIE,False
33,20,CLEAR,CATEGORY,False
11,91,BOXING,TEAM,False
50,50,FOREIGNER,FOREIGNER,True
32,62,CITY,MECHANIC,False
99,94,WHATFOR,THAT,False
97,68,TWINS,PATIENT,False
31,31,CIGARETTE,CIGARETTE,True
10,10,BOWL,BOWL,True
48,41,ELEVATOR,DEVELOP,False
17,22,CANCEL,CEMETERY,False
61,57,LUNCH,HOSPITAL,False
85,85,STICKY,STICKY,True
55,55,HALLOWEEN,HALLOWEEN,True
49,49,FINE,FINE,True
21,27,CATHOLIC,CHEEK,False
11,91,BOXING,TEAM,False
65,65,NIGHT,NIGHT,True
49,11,FINE,BOXING,False
7,7,BLOOD,BLOOD,True
41,32,DEVELOP,CITY,False
