pred,true,pred_class,true_class,correct
36,4,CONFUSED,BELIEVE,False
76,14,SERVE,BRAVE,False
18,18,CANCER,CANCER,True
1,1,BACKPACK,BACKPACK,True
49,49,FINE,FINE,True
36,4,CONFUSED,BELIEVE,False
74,28,SANDWICH,CHEESEGRATER,False
30,61,CHRISTMAS,LUNCH,False
35,35,CLOUD,CLOUD,True
13,13,BRAIDS,BRAIDS,True
82,82,SKATE,SKATE,True
79,79,SHINY,SHINY,True
47,47,EDIT,EDIT,True
55,19,HALLOWEEN,CASTLE,False
16,98,CALENDAR,TYPE,False
34,34,CLOSE,CLOSE,True
99,52,WHATFOR,GREECE,False
49,61,FINE,LUNCH,False
2,33,BASKETBALL,CLEAR,False
0,0,AXE,AXE,True
30,30,CHRISTMAS,CHRISTMAS,True
72,82,ROCKINGCHAIR,SKATE,False
47,42,EDIT,DINNER,False
72,67,ROCKINGCHAIR,PARTY,False
37,37,DARK,DARK,True
26,26,CHASE,CHASE,True
97,38,TWINS,DEAF,False
35,35,CLOUD,CLOUD,True
96,96,THIRD,THIRD,True
36,36,CONFUSED,CONFUSED,True
44,44,DOWNSIZE,DOWNSIZE,True
8,8,BORROW,BORROW,True
33,33,CLEAR,CLEAR,True
85,85,STICKY,STICKY,True
43,43,DOG,DOG,True
45,63,DRAG,MICROSCOPE,False
60,60,LOCK,LOCK,True
83,34,SPECIAL,CLOSE,False
86,86,STOMACH,STOMACH,True
89,89,SUSPECT,SUSPECT,True
44,39,DOWNSIZE,DECIDE,False
35,2,CLOUD,BASKETBALL,False
46,46,EAT,EAT,True
40,51,DEMAND,GIFT,False
59,59,LETTUCE,LETTUCE,True
40,40,DEMAND,DEMAND,True
29,65,CHOCOLATE,NIGHT,False
27,99,CHEEK,WHATFOR,False
38,38,DEAF,DEAF,True
93,93,TEXT,TEXT,True
24,24,CHANNEL,CHANNEL,True
1,26,BACKPACK,CHASE,False
16,37,CALENDAR,DARK,False
38,52,DEAF,GREECE,False
31,73,CIGARETTE,SAME,False
29,29,CHOCOLATE,CHOCOLATE,True
90,90,TAKEOFF,TAKEOFF,True
83,83,SPECIAL,SPECIAL,True
15,15,BREAKFAST,BREAKFAST,True
89,99,SUSPECT,WHATFOR,False
8,6,BORROW,BITE,False
53,96,GREEN,THIRD,False
67,76,PARTY,SERVE,False
5,5,BELT,BELT,True
5,5,BELT,BELT,True
6,6,BITE,BITE,True
21,68,CATHOLIC,PATIENT,False
60,31,LOCK,CIGARETTE,False
8,8,BORROW,BORROW,True
46,21,EAT,CATHOLIC,False
23,16,CHAIN,CALENDAR,False
27,27,CHEEK,CHEEK,True
57,97,HOSPITAL,TWINS,False
69,69,RECENT,RECENT,True
5,5,BELT,BELT,True
45,45,DRAG,DRAG,True
48,48,ELEVATOR,ELEVATOR,True
23,23,CHAIN,CHAIN,True
67,11,PARTY,BOXING,False
98,98,TYPE,TYPE,True
18,18,CANCER,CANCER,True
50,64,FOREIGNER,MOVIE,False
20,20,CATEGORY,CATEGORY,True
11,91,BOXING,TEAM,False
50,50,FOREIGNER,FOREIGNER,True
23,62,CHAIN,MECHANIC,False
94,94,THAT,THAT,True
69,68,RECENT,PATIENT,False
31,31,CIGARETTE,CIGARETTE,True
10,10,BOWL,BOWL,True
74,41,SANDWICH,DEVELOP,False
70,22,RESEARCH,CEMETERY,False
21,57,CATHOLIC,HOSPITAL,False
85,85,STICKY,STICKY,True
35,55,CLOUD,HALLOWEEN,False
49,49,FINE,FINE,True
27,27,CHEEK,CHEEK,True
47,91,EDIT,TEAM,False
65,65,NIGHT,NIGHT,True
69,11,RECENT,BOXING,False
7,7,BLOOD,BLOOD,True
41,32,DEVELOP,CITY,False
75,75,SCARED,SCARED,True
42,42,DINNER,DINNER,True
67,14,PARTY,BRAVE,False
41,41,DEVELOP,DEVELOP,True
66,30,NOON,CHRISTMAS,False
86,86,STOMACH,STOMACH,True
95,95,THEY,THEY,True
92,84,TEMPTATION,STEAL,False
99,46,WHATFOR,EAT,False
25,25,CHARACTER,CHARACTER,True
59,59,LETTUCE,LETTUCE,True
84,84,STEAL,STEAL,True
90,60,TAKEOFF,LOCK,False
10,10,BOWL,BOWL,True
50,92,FOREIGNER,TEMPTATION,False
73,51,SAME,GIFT,False
81,81,SINK,SINK,True
35,2,CLOUD,BASKETBALL,False
57,57,HOSPITAL,HOSPITAL,True
15,21,BREAKFAST,CATHOLIC,False
17,80,CANCEL,SHOP,False
67,67,PARTY,PARTY,True
44,44,DOWNSIZE,DOWNSIZE,True
23,20,CHAIN,CATEGORY,False
17,7,CANCEL,BLOOD,False
72,72,ROCKINGCHAIR,ROCKINGCHAIR,True
83,23,SPECIAL,CHAIN,False
37,16,DARK,CALENDAR,False
70,1,RESEARCH,BACKPACK,False
75,75,SCARED,SCARED,True
29,29,CHOCOLATE,CHOCOLATE,True
83,54,SPECIAL,GUESS,False
66,12,NOON,BOY,False
18,47,CANCER,EDIT,False
44,13,DOWNSIZE,BRAIDS,False
2,76,BASKETBALL,SERVE,False
57,92,HOSPITAL,TEMPTATION,False
12,12,BOY,BOY,True
69,3,RECENT,BEE,False
43,24,DOG,CHANNEL,False
96,53,THIRD,GREEN,False
74,17,SANDWICH,CANCEL,False
9,9,BOTTLE,BOTTLE,True
65,58,NIGHT,HURDLE/TRIP,False
21,56,CATHOLIC,HAMMER,False
39,77,DECIDE,SEW,False
83,83,SPECIAL,SPECIAL,True
70,70,RESEARCH,RESEARCH,True
66,66,NOON,NOON,True
89,66,SUSPECT,NOON,False
79,79,SHINY,SHINY,True
88,88,SURPRISE,SURPRISE,True
69,89,RECENT,SUSPECT,False
46,9,EAT,BOTTLE,False
46,69,EAT,RECENT,False
4,15,BELIEVE,BREAKFAST,False
23,32,CHAIN,CITY,False
15,87,BREAKFAST,STRANGE,False
37,39,DARK,DECIDE,False
53,53,GREEN,GREEN,True
62,62,MECHANIC,MECHANIC,True
71,71,RIVER,RIVER,True
17,45,CANCEL,DRAG,False
74,74,SANDWICH,SANDWICH,True
53,99,GREEN,WHATFOR,False
95,95,THEY,THEY,True
79,40,SHINY,DEMAND,False
7,50,BLOOD,FOREIGNER,False
36,81,CONFUSED,SINK,False
40,80,DEMAND,SHOP,False
94,94,THAT,THAT,True
36,36,CONFUSED,CONFUSED,True
53,56,GREEN,HAMMER,False
88,88,SURPRISE,SURPRISE,True
78,78,SHAVE,SHAVE,True
58,58,HURDLE/TRIP,HURDLE/TRIP,True
25,25,CHARACTER,CHARACTER,True
15,74,BREAKFAST,SANDWICH,False
72,72,ROCKINGCHAIR,ROCKINGCHAIR,True
29,64,CHOCOLATE,MOVIE,False
93,93,TEXT,TEXT,True
22,71,CEMETERY,RIVER,False
97,97,TWINS,TWINS,True
99,3,WHATFOR,BEE,False
78,78,SHAVE,SHAVE,True
82,17,SKATE,CANCEL,False
49,68,FINE,PATIENT,False
71,22,RIVER,CEMETERY,False
50,63,FOREIGNER,MICROSCOPE,False
30,0,CHRISTMAS,AXE,False
11,55,BOXING,HALLOWEEN,False
31,28,CIGARETTE,CHEESEGRATER,False
52,54,GREECE,GUESS,False
43,43,DOG,DOG,True
90,70,TAKEOFF,RESEARCH,False
55,2,HALLOWEEN,BASKETBALL,False
48,48,ELEVATOR,ELEVATOR,True
19,19,CASTLE,CASTLE,True
77,77,SEW,SEW,True
5,73,BELT,SAME,False
68,87,PATIENT,STRANGE,False
9,90,BOTTLE,TAKEOFF,False
