pred,true,pred_class,true_class,correct
36,4,CONFUSED,BELIEVE,False
14,14,BRAVE,BRAVE,True
32,18,CITY,CANCER,False
1,1,BACKPACK,BACKPACK,True
49,49,FINE,FINE,True
36,4,CONFUSED,BELIEVE,False
8,28,BORROW,CHEESEGRATER,False
4,61,BELIEVE,LUNCH,False
35,35,CLOUD,CLOUD,True
13,13,BRAIDS,BRAIDS,True
82,82,SKATE,SKATE,True
77,79,SEW,SHINY,False
47,47,EDIT,EDIT,True
88,19,SURPRISE,CASTLE,False
7,98,BLOOD,TYPE,False
44,34,DOWNSIZE,CLOSE,False
99,52,WHATFOR,GREECE,False
38,61,DEAF,LUNCH,False
2,33,BASKETBALL,CLEAR,False
0,0,AXE,AXE,True
30,30,CHRISTMAS,CHRISTMAS,True
82,82,SKATE,SKATE,True
42,42,DINNER,DINNER,True
72,67,ROCKINGCHAIR,PARTY,False
37,37,DARK,DARK,True
26,26,CHASE,CHASE,True
38,38,DEAF,DEAF,True
35,35,CLOUD,CLOUD,True
96,96,THIRD,THIRD,True
36,36,CONFUSED,CONFUSED,True
44,44,DOWNSIZE,DOWNSIZE,True
63,8,MICROSCOPE,BORROW,False
33,33,CLEAR,CLEAR,True
85,85,STICKY,STICKY,True
43,43,DOG,DOG,True
8,63,BORROW,MICROSCOPE,False
62,60,MECHANIC,LOCK,False
23,34,CHAIN,CLOSE,False
86,86,STOMACH,STOMACH,True
99,89,WHATFOR,SUSPECT,False
45,39,DRAG,DECIDE,False
2,2,BASKETBALL,BASKETBALL,True
46,46,EAT,EAT,True
93,51,TEXT,GIFT,False
59,59,LETTUCE,LETTUCE,True
40,40,DEMAND,DEMAND,True
92,65,TEMPTATION,NIGHT,False
89,99,SUSPECT,WHATFOR,False
38,38,DEAF,DEAF,True
93,93,TEXT,TEXT,True
24,24,CHANNEL,CHANNEL,True
26,26,CHASE,CHASE,True
37,37,DARK,DARK,True
38,52,DEAF,GREECE,False
73,73,SAME,SAME,True
29,29,CHOCOLATE,CHOCOLATE,True
90,90,TAKEOFF,TAKEOFF,True
83,83,SPECIAL,SPECIAL,True
15,15,BREAKFAST,BREAKFAST,True
89,99,SUSPECT,WHATFOR,False
71,6,RIVER,BITE,False
53,96,GREEN,THIRD,False
82,76,SKATE,SERVE,False
5,5,BELT,BELT,True
5,5,BELT,BELT,True
6,6,BITE,BITE,True
61,68,LUNCH,PATIENT,False
31,31,CIGARETTE,CIGARETTE,True
8,8,BORROW,BORROW,True
61,21,LUNCH,CATHOLIC,False
23,16,CHAIN,CALENDAR,False
27,27,CHEEK,CHEEK,True
68,97,PATIENT,TWINS,False
69,69,RECENT,RECENT,True
5,5,BELT,BELT,True
73,45,SAME,DRAG,False
41,48,DEVELOP,ELEVATOR,False
23,23,CHAIN,CHAIN,True
