pred,true,pred_class,true_class,correct
4,4,BELIEVE,BELIEVE,True
67,14,PARTY,BRAVE,False
40,18,DEMAND,CANCER,False
7,1,BLOOD,BACKPACK,False
49,49,FINE,FINE,True
36,4,CONFUSED,BELIEVE,False
8,28,BORROW,CHEESEGRATER,False
66,61,NOON,LUNCH,False
35,35,CLOUD,CLOUD,True
13,13,BRAIDS,BRAIDS,True
75,82,SCARED,SKATE,False
79,79,SHINY,SHINY,True
74,47,SANDWICH,EDIT,False
19,19,CASTLE,CASTLE,True
7,98,BLOOD,TYPE,False
44,34,DOWNSIZE,CLOSE,False
59,52,LETTUCE,GREECE,False
49,61,FINE,LUNCH,False
2,33,BASKETBALL,CLEAR,False
0,0,AXE,AXE,True
30,30,CHRISTMAS,CHRISTMAS,True
82,82,SKATE,SKATE,True
65,42,NIGHT,DINNER,False
71,67,RIVER,PARTY,False
37,37,DARK,DARK,True
26,26,CHASE,CHASE,True
46,38,EAT,DEAF,False
35,35,CLOUD,CLOUD,True
96,96,THIRD,THIRD,True
36,36,CONFUSED,CONFUSED,True
44,44,DOWNSIZE,DOWNSIZE,True
63,8,MICROSCOPE,BORROW,False
10,33,BOWL,CLEAR,False
85,85,STICKY,STICKY,True
43,43,DOG,DOG,True
42,63,DINNER,MICROSCOPE,False
73,60,SAME,LOCK,False
73,34,SAME,CLOSE,False
86,86,STOMACH,STOMACH,True
3,89,BEE,SUSPECT,False
5,39,BELT,DECIDE,False
35,2,CLOUD,BASKETBALL,False
3,46,BEE,EAT,False
82,51,SKATE,GIFT,False
59,59,LETTUCE,LETTUCE,True
28,40,CHEESEGRATER,DEMAND,False
64,65,MOVIE,NIGHT,False
3,99,BEE,WHATFOR,False
69,38,RECENT,DEAF,False
93,93,TEXT,TEXT,True
24,24,CHANNEL,CHANNEL,True
26,26,CHASE,CHASE,True
37,37,DARK,DARK,True
69,52,RECENT,GREECE,False
73,73,SAME,SAME,True
29,29,CHOCOLATE,CHOCOLATE,True
83,90,SPECIAL,TAKEOFF,False
83,83,SPECIAL,SPECIAL,True
69,15,RECENT,BREAKFAST,False
89,99,SUSPECT,WHATFOR,False
60,6,LOCK,BITE,False
96,96,THIRD,THIRD,True
72,76,ROCKINGCHAIR,SERVE,False
5,5,BELT,BELT,True
5,5,BELT,BELT,True
43,6,DOG,BITE,False
46,68,EAT,PATIENT,False
60,31,LOCK,CIGARETTE,False
8,8,BORROW,BORROW,True
99,21,WHATFOR,CATHOLIC,False
23,16,CHAIN,CALENDAR,False
3,27,BEE,CHEEK,False
49,97,FINE,TWINS,False
69,69,RECENT,RECENT,True
5,5,BELT,BELT,True
22,45,CEMETERY,DRAG,False
48,48,ELEVATOR,ELEVATOR,True
23,23,CHAIN,CHAIN,True
11,11,BOXING,BOXING,True
98,98,TYPE,TYPE,True
18,18,CANCER,CANCER,True
47,64,EDIT,MOVIE,False
20,20,CATEGORY,CATEGORY,True
11,91,BOXING,TEAM,False
50,50,FOREIGNER,FOREIGNER,True
11,62,BOXING,MECHANIC,False
96,94,THIRD,THAT,False
68,68,PATIENT,PATIENT,True
31,31,CIGARETTE,CIGARETTE,True
10,10,BOWL,BOWL,True
41,41,DEVELOP,DEVELOP,True
22,22,CEMETERY,CEMETERY,True
3,57,BEE,HOSPITAL,False
85,85,STICKY,STICKY,True
0,55,AXE,HALLOWEEN,False
49,49,FINE,FINE,True
46,27,EAT,CHEEK,False
91,91,TEAM,TEAM,True
65,65,NIGHT,NIGHT,True
49,11,FINE,BOXING,False
7,7,BLOOD,BLOOD,True
60,32,LOCK,CITY,False
75,75,SCARED,SCARED,True
42,42,DINNER,DINNER,True
14,14,BRAVE,BRAVE,True
48,41,ELEVATOR,DEVELOP,False
59,30,LETTUCE,CHRISTMAS,False
86,86,STOMACH,STOMACH,True
95,95,THEY,THEY,True
50,84,FOREIGNER,STEAL,False
46,46,EAT,EAT,True
37,25,DARK,CHARACTER,False
3,59,BEE,LETTUCE,False
84,84,STEAL,STEAL,True
83,60,SPECIAL,LOCK,False
71,10,RIVER,BOWL,False
92,92,TEMPTATION,TEMPTATION,True
70,51,RESEARCH,GIFT,False
51,81,GIFT,SINK,False
2,2,BASKETBALL,BASKETBALL,True
49,57,FINE,HOSPITAL,False
3,21,BEE,CATHOLIC,False
51,80,GIFT,SHOP,False
72,67,ROCKINGCHAIR,PARTY,False
13,44,BRAIDS,DOWNSIZE,False
20,20,CATEGORY,CATEGORY,True
7,7,BLOOD,BLOOD,True
85,72,STICKY,ROCKINGCHAIR,False
31,23,CIGARETTE,CHAIN,False
87,16,STRANGE,CALENDAR,False
1,1,BACKPACK,BACKPACK,True
67,75,PARTY,SCARED,False
29,29,CHOCOLATE,CHOCOLATE,True
83,54,SPECIAL,GUESS,False
59,12,LETTUCE,BOY,False
74,47,SANDWICH,EDIT,False
13,13,BRAIDS,BRAIDS,True
76,76,SERVE,SERVE,True
86,92,STOMACH,TEMPTATION,False
12,12,BOY,BOY,True
69,3,RECENT,BEE,False
43,24,DOG,CHANNEL,False
53,53,GREEN,GREEN,True
11,17,BOXING,CANCEL,False
90,9,TAKEOFF,BOTTLE,False
79,58,SHINY,HURDLE/TRIP,False
69,56,RECENT,HAMMER,False
39,77,DECIDE,SEW,False
83,83,SPECIAL,SPECIAL,True
70,70,RESEARCH,RESEARCH,True
66,66,NOON,NOON,True
3,66,BEE,NOON,False
79,79,SHINY,SHINY,True
14,88,BRAVE,SURPRISE,False
69,89,RECENT,SUSPECT,False
46,9,EAT,BOTTLE,False
69,69,RECENT,RECENT,True
36,15,CONFUSED,BREAKFAST,False
23,32,CHAIN,CITY,False
3,87,BEE,STRANGE,False
47,39,EDIT,DECIDE,False
96,53,THIRD,GREEN,False
62,62,MECHANIC,MECHANIC,True
71,71,RIVER,RIVER,True
70,45,RESEARCH,DRAG,False
74,74,SANDWICH,SANDWICH,True
49,99,FINE,WHATFOR,False
43,95,DOG,THEY,False
83,40,SPECIAL,DEMAND,False
7,50,BLOOD,FOREIGNER,False
42,81,DINNER,SINK,False
8,80,BORROW,SHOP,False
96,94,THIRD,THAT,False
36,36,CONFUSED,CONFUSED,True
69,56,RECENT,HAMMER,False
88,88,SURPRISE,SURPRISE,True
43,78,DOG,SHAVE,False
58,58,HURDLE/TRIP,HURDLE/TRIP,True
49,25,FINE,CHARACTER,False
38,74,DEAF,SANDWICH,False
72,72,ROCKINGCHAIR,ROCKINGCHAIR,True
50,64,FOREIGNER,MOVIE,False
93,93,TEXT,TEXT,True
22,71,CEMETERY,RIVER,False
49,97,FINE,TWINS,False
3,3,BEE,BEE,True
9,78,BOTTLE,SHAVE,False
45,17,DRAG,CANCEL,False
49,68,FINE,PATIENT,False
71,22,RIVER,CEMETERY,False
60,63,LOCK,MICROSCOPE,False
0,0,AXE,AXE,True
3,55,BEE,HALLOWEEN,False
28,28,CHEESEGRATER,CHEESEGRATER,True
49,54,FINE,GUESS,False
43,43,DOG,DOG,True
80,70,SHOP,RESEARCH,False
2,2,BASKETBALL,BASKETBALL,True
48,48,ELEVATOR,ELEVATOR,True
19,19,CASTLE,CASTLE,True
77,77,SEW,SEW,True
5,73,BELT,SAME,False
38,87,DEAF,STRANGE,False
90,90,TAKEOFF,TAKEOFF,True
