pred,true,pred_class,true_class,correct
36,4,CONFUSED,BELIEVE,False
67,14,PARTY,BRAVE,False
34,18,CLOSE,CANCER,False
11,1,BOXING,BACKPACK,False
49,49,FINE,FINE,True
34,4,CLOSE,BELIEVE,False
8,28,BORROW,CHEESEGRATER,False
37,61,DARK,LUNCH,False
35,35,CLOUD,CLOUD,True
13,13,BRAIDS,BRAIDS,True
67,82,PARTY,SKATE,False
79,79,SHINY,SHINY,True
47,47,EDIT,EDIT,True
76,19,SERVE,CASTLE,False
7,98,BLOOD,TYPE,False
34,34,CLOSE,CLOSE,True
12,52,BOY,GREECE,False
49,61,FINE,LUNCH,False
88,33,SURPRISE,CLEAR,False
0,0,AXE,AXE,True
30,30,CHRISTMAS,CHRISTMAS,True
82,82,SKATE,SKATE,True
64,42,MOVIE,DINNER,False
67,67,PARTY,PARTY,True
37,37,DARK,DARK,True
40,26,DEMAND,CHASE,False
49,38,FINE,DEAF,False
35,35,CLOUD,CLOUD,True
12,96,BOY,THIRD,False
36,36,CONFUSED,CONFUSED,True
44,44,DOWNSIZE,DOWNSIZE,True
91,8,TEAM,BORROW,False
10,33,BOWL,CLEAR,False
67,85,PARTY,STICKY,False
49,43,FINE,DOG,False
34,63,CLOSE,MICROSCOPE,False
17,60,CANCEL,LOCK,False
34,34,CLOSE,CLOSE,True
86,86,STOMACH,STOMACH,True
61,89,LUNCH,SUSPECT,False
67,39,PARTY,DECIDE,False
2,2,BASKETBALL,BASKETBALL,True
61,46,LUNCH,EAT,False
91,51,TEAM,GIFT,False
12,59,BOY,LETTUCE,False
17,40,CANCEL,DEMAND,False
92,65,TEMPTATION,NIGHT,False
61,99,LUNCH,WHATFOR,False
49,38,FINE,DEAF,False
82,93,SKATE,TEXT,False
49,24,FINE,CHANNEL,False
67,26,PARTY,CHASE,False
37,37,DARK,DARK,True
49,52,FINE,GREECE,False
73,73,SAME,SAME,True
64,29,MOVIE,CHOCOLATE,False
77,90,SEW,TAKEOFF,False
83,83,SPECIAL,SPECIAL,True
51,15,GIFT,BREAKFAST,False
61,99,LUNCH,WHATFOR,False
34,6,CLOSE,BITE,False
49,96,FINE,THIRD,False
67,76,PARTY,SERVE,False
64,5,MOVIE,BELT,False
5,5,BELT,BELT,True
49,6,FINE,BITE,False
61,68,LUNCH,PATIENT,False
17,31,CANCEL,CIGARETTE,False
34,8,CLOSE,BORROW,False
61,21,LUNCH,CATHOLIC,False
34,16,CLOSE,CALENDAR,False
61,27,LUNCH,CHEEK,False
49,97,FINE,TWINS,False
49,69,FINE,RECENT,False
5,5,BELT,BELT,True
77,45,SEW,DRAG,False
8,48,BORROW,ELEVATOR,False
34,23,CLOSE,CHAIN,False
91,11,TEAM,BOXING,False
40,98,DEMAND,TYPE,False
18,18,CANCER,CANCER,True
34,64,CLOSE,MOVIE,False
40,20,DEMAND,CATEGORY,False
91,91,TEAM,TEAM,True
50,50,FOREIGNER,FOREIGNER,True
11,62,BOXING,MECHANIC,False
12,94,BOY,THAT,False
49,68,FINE,PATIENT,False
73,31,SAME,CIGARETTE,False
10,10,BOWL,BOWL,True
41,41,DEVELOP,DEVELOP,True
17,22,CANCEL,CEMETERY,False
61,57,LUNCH,HOSPITAL,False
67,85,PARTY,STICKY,False
37,55,DARK,HALLOWEEN,False
49,49,FINE,FINE,True
61,27,LUNCH,CHEEK,False
91,91,TEAM,TEAM,True
34,65,CLOSE,NIGHT,False
49,11,FINE,BOXING,False
7,7,BLOOD,BLOOD,True
18,32,CANCER,CITY,False
67,75,PARTY,SCARED,False
17,42,CANCEL,DINNER,False
10,14,BOWL,BRAVE,False
